customer_group_id,group_size,entry_time,queue_wait_time,service_start_time,service_time
490,1,17:19:43,00:00:00,00:00:00,00:00:00
493,1,17:19:47,00:00:00,00:00:00,00:00:00
502,1,17:20:34,00:00:00,00:00:00,00:00:00
500,2,17:21:21,00:00:00,00:00:00,00:00:00
494,1,17:21:21,00:00:00,00:00:00,00:00:00
505,2,17:21:32,00:00:00,00:00:00,00:00:00
498,1,17:22:59,00:00:00,00:00:00,00:00:00
495,2,17:23:34,00:00:00,00:00:00,00:00:00
501,3,17:23:59,00:00:00,00:00:00,00:00:00
499,1,17:24:00,00:00:00,00:00:00,00:00:00
503,2,17:24:19,00:00:00,00:00:00,00:00:00
504,2,17:26:07,00:00:00,00:00:00,00:00:00
496,3,17:26:08,00:00:00,00:00:00,00:00:00
497,1,17:28:22,00:00:00,00:00:00,00:00:00
514,1,17:32:04,00:00:00,00:00:00,00:00:00
518,1,17:32:13,00:00:00,00:00:00,00:00:00
508,1,17:33:53,00:00:00,00:00:00,00:00:00
512,2,17:34:19,00:00:00,00:00:00,00:00:00
509,1,17:34:53,00:00:00,00:00:00,00:00:00
513,1,17:34:55,00:00:00,00:00:00,00:00:00
510,2,17:35:51,00:00:00,00:00:00,00:00:00
517,1,17:37:06,00:00:00,00:00:00,00:00:00
519,1,17:37:10,00:00:00,00:00:00,00:00:00
516,1,17:37:10,00:00:00,00:00:00,00:00:00
506,2,17:38:16,00:00:00,00:00:00,00:00:00
511,2,17:39:02,00:00:00,00:00:00,00:00:00
507,2,17:39:27,00:00:00,00:00:00,00:00:00
515,3,17:39:40,00:00:00,00:00:00,00:00:00
521,2,17:40:22,00:00:00,00:00:00,00:00:00
532,1,17:41:26,00:00:00,00:00:00,00:00:00
528,2,17:41:49,00:00:00,00:00:00,00:00:00
529,1,17:43:07,00:00:00,00:00:00,00:00:00
523,1,17:44:02,00:00:00,00:00:00,00:00:00
520,1,17:44:11,00:00:00,00:00:00,00:00:00
531,1,17:44:51,00:00:00,00:00:00,00:00:00
522,1,17:45:12,00:00:00,00:00:00,00:00:00
524,3,17:46:26,00:00:00,00:00:00,00:00:00
526,1,17:46:27,00:00:00,00:00:00,00:00:00
525,2,17:48:21,00:00:00,00:00:00,00:00:00
527,2,17:48:58,00:00:00,00:00:00,00:00:00
530,1,17:49:20,00:00:00,00:00:00,00:00:00
